DISTRICT,CNTYNAME,COUNTY,DFLCHART,DISTNAME,REGION
161921,MCLENNAN,161,N,CONNALLY ISD,12
161922,MCLENNAN,161,N,ROBINSON ISD,12
161923,MCLENNAN,161,N,BOSQUEVILLE ISD,12
161924,MCLENNAN,161,N,HALLSBURG ISD,12
161925,MCLENNAN,161,N,GHOLSON ISD,12
162904,MCMULLEN,162,N,MCMULLEN COUNTY ISD,02
163901,MEDINA,163,N,DEVINE ISD,20
163902,MEDINA,163,N,D'HANIS ISD,20
163903,MEDINA,163,N,NATALIA ISD,20
163904,MEDINA,163,N,HONDO ISD,20
163908,MEDINA,163,N,MEDINA VALLEY ISD,20
164901,MENARD,164,N,MENARD ISD,15
165802,MIDLAND,165,Y,MIDLAND ACADEMY CHARTER SCHOOL,18
165901,MIDLAND,165,N,MIDLAND ISD,18
165902,MIDLAND,165,N,GREENWOOD ISD,18
166901,MILAM,166,N,CAMERON ISD,06
166902,MILAM,166,N,GAUSE ISD,06
166903,MILAM,166,N,MILANO ISD,06
166904,MILAM,166,N,ROCKDALE ISD,06
166905,MILAM,166,N,THORNDALE ISD,13
166907,MILAM,166,N,BUCKHOLTS ISD,06
167901,MILLS,167,N,GOLDTHWAITE ISD,12
167902,MILLS,167,N,MULLIN ISD,12
167904,MILLS,167,N,PRIDDY ISD,12
168901,MITCHELL,168,N,COLORADO ISD,14
168902,MITCHELL,168,N,LORAINE ISD,14
168903,MITCHELL,168,N,WESTBROOK ISD,14
169901,MONTAGUE,169,N,BOWIE ISD,09
169902,MONTAGUE,169,N,NOCONA ISD,09
169906,MONTAGUE,169,N,GOLD BURG ISD,09
169908,MONTAGUE,169,N,MONTAGUE ISD,09
169909,MONTAGUE,169,N,PRAIRIE VALLEY ISD,09
169910,MONTAGUE,169,N,FORESTBURG ISD,09
169911,MONTAGUE,169,N,SAINT JO ISD,09
170801,MONTGOMERY,170,Y,TEXAS SERENITY ACADEMY,06
170902,MONTGOMERY,170,N,CONROE ISD,06
170903,MONTGOMERY,170,N,MONTGOMERY ISD,06
170904,MONTGOMERY,170,N,WILLIS ISD,06
170906,MONTGOMERY,170,N,MAGNOLIA ISD,06
170907,MONTGOMERY,170,N,SPLENDORA ISD,06
170908,MONTGOMERY,170,N,NEW CANEY ISD,06
171901,MOORE,171,N,DUMAS ISD,16
171902,MOORE,171,N,SUNRAY ISD,16
172902,MORRIS,172,N,DAINGERFIELD-LONE STAR ISD,08
172905,MORRIS,172,N,PEWITT CISD,08
173901,MOTLEY,173,N,MOTLEY COUNTY ISD,17
174801,NACOGDOCHES,174,Y,STEPHEN F AUSTIN STATE UNIVERSITY,07
174901,NACOGDOCHES,174,N,CHIRENO ISD,07
174902,NACOGDOCHES,174,N,CUSHING ISD,07
174903,NACOGDOCHES,174,N,GARRISON ISD,07
174904,NACOGDOCHES,174,N,NACOGDOCHES ISD,07
174906,NACOGDOCHES,174,N,WODEN ISD,07
174908,NACOGDOCHES,174,N,CENTRAL HEIGHTS ISD,07
174909,NACOGDOCHES,174,N,MARTINSVILLE ISD,07
174910,NACOGDOCHES,174,N,ETOILE ISD,07
174911,NACOGDOCHES,174,N,DOUGLASS ISD,07
175902,NAVARRO,175,N,BLOOMING GROVE ISD,12
175903,NAVARRO,175,N,CORSICANA ISD,12
175904,NAVARRO,175,N,DAWSON ISD,12
175905,NAVARRO,175,N,FROST ISD,12
175907,NAVARRO,175,N,KERENS ISD,12
175910,NAVARRO,175,N,MILDRED ISD,12
175911,NAVARRO,175,N,RICE ISD,12
176901,NEWTON,176,N,BURKEVILLE ISD,05
176902,NEWTON,176,N,NEWTON ISD,05
176903,NEWTON,176,N,DEWEYVILLE ISD,05
177901,NOLAN,177,N,ROSCOE COLLEGIATE ISD,14
177902,NOLAN,177,N,SWEETWATER ISD,14
177903,NOLAN,177,N,BLACKWELL CISD,14
177905,NOLAN,177,N,HIGHLAND ISD,14
178801,NUECES,178,Y,DR M L GARZA-GONZALEZ CHARTER SCHO,02
178807,NUECES,178,Y,CORPUS CHRISTI MONTESSORI SCHOOL,02
178808,NUECES,178,Y,SEASHORE CHARTER SCHOOLS,02
178901,NUECES,178,N,AGUA DULCE ISD,02
178902,NUECES,178,N,BISHOP CISD,02
178903,NUECES,178,N,CALALLEN ISD,02
178904,NUECES,178,N,CORPUS CHRISTI ISD,02
178905,NUECES,178,N,DRISCOLL ISD,02
178906,NUECES,178,N,LONDON ISD,02
178908,NUECES,178,N,PORT ARANSAS ISD,02
178909,NUECES,178,N,ROBSTOWN ISD,02
178912,NUECES,178,N,TULOSO-MIDWAY ISD,02
178913,NUECES,178,N,BANQUETE ISD,02
178914,NUECES,178,N,FLOUR BLUFF ISD,02
178915,NUECES,178,N,WEST OSO ISD,02
179901,OCHILTREE,179,N,PERRYTON ISD,16
180901,OLDHAM,180,N,BOYS RANCH ISD,16
180902,OLDHAM,180,N,VEGA ISD,16
180903,OLDHAM,180,N,ADRIAN ISD,16
180904,OLDHAM,180,N,WILDORADO ISD,16
181901,ORANGE,181,N,BRIDGE CITY ISD,05
181905,ORANGE,181,N,ORANGEFIELD ISD,05
181906,ORANGE,181,N,WEST ORANGE-COVE CISD,05
181907,ORANGE,181,N,VIDOR ISD,05
181908,ORANGE,181,N,LITTLE CYPRESS-MAURICEVILLE CISD,05
182901,PALO PINTO,182,N,GORDON ISD,11
182902,PALO PINTO,182,N,GRAFORD ISD,11
182903,PALO PINTO,182,N,MINERAL WELLS ISD,11
182904,PALO PINTO,182,N,SANTO ISD,11
182905,PALO PINTO,182,N,STRAWN ISD,11
182906,PALO PINTO,182,N,PALO PINTO ISD,11
183801,PANOLA,183,Y,PANOLA CHARTER SCHOOL,07
183901,PANOLA,183,N,BECKVILLE ISD,07
183902,PANOLA,183,N,CARTHAGE ISD,07
183904,PANOLA,183,N,GARY ISD,07
184801,PARKER,184,Y,CROSSTIMBERS ACADEMY,11
184901,PARKER,184,N,POOLVILLE ISD,11
184902,PARKER,184,N,SPRINGTOWN ISD,11
184903,PARKER,184,N,WEATHERFORD ISD,11
184904,PARKER,184,N,MILLSAP ISD,11
184907,PARKER,184,N,ALEDO ISD,11
184908,PARKER,184,N,PEASTER ISD,11
184909,PARKER,184,N,BROCK ISD,11
184911,PARKER,184,N,GARNER ISD,11
185901,PARMER,185,N,BOVINA ISD,16
185902,PARMER,185,N,FARWELL ISD,16
185903,PARMER,185,N,FRIONA ISD,16
185904,PARMER,185,N,LAZBUDDIE ISD,16
186901,PECOS,186,N,BUENA VISTA ISD,18
186902,PECOS,186,N,FORT STOCKTON ISD,18
186903,PECOS,186,N,IRAAN-SHEFFIELD ISD,18
187901,POLK,187,N,BIG SANDY ISD,06
187903,POLK,187,N,GOODRICH ISD,06
187904,POLK,187,N,CORRIGAN-CAMDEN ISD,06
187906,POLK,187,N,LEGGETT ISD,06
187907,POLK,187,N,LIVINGSTON ISD,06
187910,POLK,187,N,ONALASKA ISD,06
188901,POTTER,188,N,AMARILLO ISD,16
188902,POTTER,188,N,RIVER ROAD ISD,16
188903,POTTER,188,N,HIGHLAND PARK ISD,16
188904,POTTER,188,N,BUSHLAND ISD,16
189901,PRESIDIO,189,N,MARFA ISD,18
189902,PRESIDIO,189,N,PRESIDIO ISD,18
190903,RAINS,190,N,RAINS ISD,07
191901,RANDALL,191,N,CANYON ISD,16
192901,REAGAN,192,N,REAGAN COUNTY ISD,18
193801,REAL,193,Y,BIG SPRINGS CHARTER SCHOOL,20
193902,REAL,193,N,LEAKEY ISD,20
194902,RED RIVER,194,N,AVERY ISD,08
194903,RED RIVER,194,N,RIVERCREST ISD,08
194904,RED RIVER,194,N,CLARKSVILLE ISD,08
194905,RED RIVER,194,N,DETROIT ISD,08
195901,REEVES,195,N,PECOS-BARSTOW-TOYAH ISD,18
195902,REEVES,195,N,BALMORHEA ISD,18
196901,REFUGIO,196,N,AUSTWELL-TIVOLI ISD,03
196902,REFUGIO,196,N,WOODSBORO ISD,03
196903,REFUGIO,196,N,REFUGIO ISD,03
197902,ROBERTS,197,N,MIAMI ISD,16
198901,ROBERTSON,198,N,BREMOND ISD,06
198902,ROBERTSON,198,N,CALVERT ISD,06
198903,ROBERTSON,198,N,FRANKLIN ISD,06
198905,ROBERTSON,198,N,HEARNE ISD,06
198906,ROBERTSON,198,N,MUMFORD ISD,06
199901,ROCKWALL,199,N,ROCKWALL ISD,10
199902,ROCKWALL,199,N,ROYSE CITY ISD,10
200901,RUNNELS,200,N,BALLINGER ISD,15
200902,RUNNELS,200,N,MILES ISD,15
200904,RUNNELS,200,N,WINTERS ISD,15
200906,RUNNELS,200,N,OLFEN ISD,15
201902,RUSK,201,N,HENDERSON ISD,07
201903,RUSK,201,N,LANEVILLE ISD,07
201904,RUSK,201,N,LEVERETTS CHAPEL ISD,07
201907,RUSK,201,N,MOUNT ENTERPRISE ISD,07
201908,RUSK,201,N,OVERTON ISD,07
201910,RUSK,201,N,TATUM ISD,07
201913,RUSK,201,N,CARLISLE ISD,07
201914,RUSK,201,N,WEST RUSK COUNTY CONSOLIDATED ISD,07
202903,SABINE,202,N,HEMPHILL ISD,07
202905,SABINE,202,N,WEST SABINE ISD,07
203901,SAN AUGUSTINE,203,N,SAN AUGUSTINE ISD,07
203902,SAN AUGUSTINE,203,N,BROADDUS ISD,07
204901,SAN JACINTO,204,N,COLDSPRING-OAKHURST CISD,06
204904,SAN JACINTO,204,N,SHEPHERD ISD,06
205901,SAN PATRICIO,205,N,ARANSAS PASS ISD,02
205902,SAN PATRICIO,205,N,GREGORY-PORTLAND ISD,02
205903,SAN PATRICIO,205,N,INGLESIDE ISD,02
205904,SAN PATRICIO,205,N,MATHIS ISD,02
205905,SAN PATRICIO,205,N,ODEM-EDROY ISD,02
205906,SAN PATRICIO,205,N,SINTON ISD,02
205907,SAN PATRICIO,205,N,TAFT ISD,02
206901,SAN SABA,206,N,SAN SABA ISD,15
206902,SAN SABA,206,N,RICHLAND SPRINGS ISD,15
206903,SAN SABA,206,N,CHEROKEE ISD,15
207901,SCHLEICHER,207,N,SCHLEICHER ISD,15
208901,SCURRY,208,N,HERMLEIGH ISD,14
208902,SCURRY,208,N,SNYDER ISD,14
208903,SCURRY,208,N,IRA ISD,14
209901,SHACKELFORD,209,N,ALBANY ISD,14
209902,SHACKELFORD,209,N,MORAN ISD,14
210901,SHELBY,210,N,CENTER ISD,07
210902,SHELBY,210,N,JOAQUIN ISD,07
210903,SHELBY,210,N,SHELBYVILLE ISD,07
210904,SHELBY,210,N,TENAHA ISD,07
210905,SHELBY,210,N,TIMPSON ISD,07
210906,SHELBY,210,N,EXCELSIOR ISD,07
211901,SHERMAN,211,N,TEXHOMA ISD,16
211902,SHERMAN,211,N,STRATFORD ISD,16
212801,SMITH,212,Y,CUMBERLAND ACADEMY,07
212804,SMITH,212,Y,UT TYLER UNIVERSITY ACADEMY,07
212901,SMITH,212,N,ARP ISD,07
212902,SMITH,212,N,BULLARD ISD,07
212903,SMITH,212,N,LINDALE ISD,07
212904,SMITH,212,N,TROUP ISD,07
212905,SMITH,212,N,TYLER ISD,07
212906,SMITH,212,N,WHITEHOUSE ISD,07
212909,SMITH,212,N,CHAPEL HILL ISD,07
212910,SMITH,212,N,WINONA ISD,07
213801,SOMERVELL,213,Y,BRAZOS RIVER CHARTER SCHOOL,11
213901,SOMERVELL,213,N,GLEN ROSE ISD,11
214901,STARR,214,N,RIO GRANDE CITY CISD,01
214902,STARR,214,N,SAN ISIDRO ISD,01
214903,STARR,214,N,ROMA ISD,01
215901,STEPHENS,215,N,BRECKENRIDGE ISD,14
216901,STERLING,216,N,STERLING CITY ISD,15
217901,STONEWALL,217,N,ASPERMONT ISD,14
218901,SUTTON,218,N,SONORA ISD,15
219901,SWISHER,219,N,HAPPY ISD,16
219903,SWISHER,219,N,TULIA ISD,16
219905,SWISHER,219,N,KRESS ISD,16
220801,TARRANT,220,Y,TREETOPS SCHOOL INTERNATIONAL,11
220802,TARRANT,220,Y,ARLINGTON CLASSICS ACADEMY,11
220809,TARRANT,220,Y,FORT WORTH ACADEMY OF FINE ARTS,11
220810,TARRANT,220,Y,WESTLAKE ACADEMY CHARTER SCHOOL,11
220811,TARRANT,220,Y,EAST FORT WORTH MONTESSORI ACADEMY,11
220814,TARRANT,220,Y,TEXAS SCHOOL OF THE ARTS,11
220815,TARRANT,220,Y,CHAPEL HILL ACADEMY,11
220817,TARRANT,220,Y,NEWMAN INTERNATIONAL ACADEMY OF AR,11
220819,TARRANT,220,Y,HIGH POINT ACADEMY,11
220901,TARRANT,220,N,ARLINGTON ISD,11
220902,TARRANT,220,N,BIRDVILLE ISD,11
220904,TARRANT,220,N,EVERMAN ISD,11
220905,TARRANT,220,N,FORT WORTH ISD,11
220906,TARRANT,220,N,GRAPEVINE-COLLEYVILLE ISD,11
220907,TARRANT,220,N,KELLER ISD,11
220908,TARRANT,220,N,MANSFIELD ISD,11
220910,TARRANT,220,N,LAKE WORTH ISD,11
220912,TARRANT,220,N,CROWLEY ISD,11
220914,TARRANT,220,N,KENNEDALE ISD,11
220915,TARRANT,220,N,AZLE ISD,11
220916,TARRANT,220,N,HURST-EULESS-BEDFORD ISD,11
220917,TARRANT,220,N,CASTLEBERRY ISD,11
220918,TARRANT,220,N,EAGLE MT-SAGINAW ISD,11
220919,TARRANT,220,N,CARROLL ISD,11
220920,TARRANT,220,N,WHITE SETTLEMENT ISD,11
221801,TAYLOR,221,Y,TEXAS COLLEGE PREPARATORY ACADEMIE,14
221901,TAYLOR,221,N,ABILENE ISD,14
221904,TAYLOR,221,N,MERKEL ISD,14
221905,TAYLOR,221,N,TRENT ISD,14
221911,TAYLOR,221,N,JIM NED CISD,14
221912,TAYLOR,221,N,WYLIE ISD,14
222901,TERRELL,222,N,TERRELL COUNTY ISD,18
223901,TERRY,223,N,BROWNFIELD ISD,17
223902,TERRY,223,N,MEADOW ISD,17
223904,TERRY,223,N,WELLMAN-UNION CISD,17
224901,THROCKMORTON,224,N,THROCKMORTON COLLEGIATE ISD,09
224902,THROCKMORTON,224,N,WOODSON ISD,09
225902,TITUS,225,N,MOUNT PLEASANT ISD,08
225906,TITUS,225,N,CHAPEL HILL ISD,08
225907,TITUS,225,N,HARTS BLUFF ISD,08
226801,TOM GREEN,226,Y,TEXAS LEADERSHIP,15
226901,TOM GREEN,226,N,CHRISTOVAL ISD,15
226903,TOM GREEN,226,N,SAN ANGELO ISD,15
226905,TOM GREEN,226,N,WATER VALLEY ISD,15
226906,TOM GREEN,226,N,WALL ISD,15
226907,TOM GREEN,226,N,GRAPE CREEK ISD,15
226908,TOM GREEN,226,N,VERIBEST ISD,15
227506,TRAVIS,227,N,UNIVERSITY OF TEXAS AT AUSTIN H S,13
227803,TRAVIS,227,Y,WAYSIDE SCHOOLS,13
227804,TRAVIS,227,Y,NYOS CHARTER SCHOOL,13
227805,TRAVIS,227,Y,TEXAS EMPOWERMENT ACADEMY,13
227806,TRAVIS,227,Y,UNIVERSITY OF TEXAS UNIVERSITY CHA,13
227814,TRAVIS,227,Y,CHAPARRAL STAR ACADEMY,13
227816,TRAVIS,227,Y,HARMONY SCIENCE ACADEMY (AUSTIN),13
227817,TRAVIS,227,Y,CEDARS INTERNATIONAL ACADEMY,13
227819,TRAVIS,227,Y,UNIVERSITY OF TEXAS ELEMENTARY CHA,13
227820,TRAVIS,227,Y,KIPP TEXAS PUBLIC SCHOOLS,04
227821,TRAVIS,227,Y,AUSTIN DISCOVERY SCHOOL,13
227824,TRAVIS,227,Y,PROMESA PUBLIC SCHOOLS,13
227825,TRAVIS,227,Y,AUSTIN ACHIEVE PUBLIC SCHOOLS,13
227826,TRAVIS,227,Y,MONTESSORI FOR ALL,13
227827,TRAVIS,227,Y,THE EXCEL CENTER (FOR ADULTS),13
227829,TRAVIS,227,Y,VALOR PUBLIC SCHOOLS,13
227901,TRAVIS,227,N,AUSTIN ISD,13
227904,TRAVIS,227,N,PFLUGERVILLE ISD,13
227907,TRAVIS,227,N,MANOR ISD,13
227909,TRAVIS,227,N,EANES ISD,13
227910,TRAVIS,227,N,DEL VALLE ISD,13
227912,TRAVIS,227,N,LAGO VISTA ISD,13
227913,TRAVIS,227,N,LAKE TRAVIS ISD,13
228901,TRINITY,228,N,GROVETON ISD,06
228903,TRINITY,228,N,TRINITY ISD,06
228904,TRINITY,228,N,CENTERVILLE ISD,06
228905,TRINITY,228,N,APPLE SPRINGS ISD,06
229901,TYLER,229,N,COLMESNEIL ISD,05
229903,TYLER,229,N,WOODVILLE ISD,05
229904,TYLER,229,N,WARREN ISD,05
229905,TYLER,229,N,SPURGER ISD,05
229906,TYLER,229,N,CHESTER ISD,05
230901,UPSHUR,230,N,BIG SANDY ISD,07
230902,UPSHUR,230,N,GILMER ISD,07
230903,UPSHUR,230,N,ORE CITY ISD,07
230904,UPSHUR,230,N,UNION HILL ISD,07
230905,UPSHUR,230,N,HARMONY ISD,07
230906,UPSHUR,230,N,NEW DIANA ISD,07
230908,UPSHUR,230,N,UNION GROVE ISD,07
231901,UPTON,231,N,MCCAMEY ISD,18
231902,UPTON,231,N,RANKIN ISD,18
232901,UVALDE,232,N,KNIPPA ISD,20
232902,UVALDE,232,N,SABINAL ISD,20
232903,UVALDE,232,N,UVALDE CISD,20
232904,UVALDE,232,N,UTOPIA ISD,20
233901,VAL VERDE,233,N,SAN FELIPE-DEL RIO CISD,15
233903,VAL VERDE,233,N,COMSTOCK ISD,15
234801,VAN ZANDT,234,Y,RANCH ACADEMY,07
234902,VAN ZANDT,234,N,CANTON ISD,10
234903,VAN ZANDT,234,N,EDGEWOOD ISD,07
234904,VAN ZANDT,234,N,GRAND SALINE ISD,07
234905,VAN ZANDT,234,N,MARTINS MILL ISD,07
234906,VAN ZANDT,234,N,VAN ISD,07
234907,VAN ZANDT,234,N,WILLS POINT ISD,10
234909,VAN ZANDT,234,N,FRUITVALE ISD,07
235901,VICTORIA,235,N,BLOOMINGTON ISD,03
235902,VICTORIA,235,N,VICTORIA ISD,03
235904,VICTORIA,235,N,NURSERY ISD,03
236801,WALKER,236,Y,RAVEN SCHOOL,06
236802,WALKER,236,Y,SAM HOUSTON STATE UNIVERSITY CHART,06
236901,WALKER,236,N,NEW WAVERLY ISD,06
236902,WALKER,236,N,HUNTSVILLE ISD,06
237902,WALLER,237,N,HEMPSTEAD ISD,04
237904,WALLER,237,N,WALLER ISD,04
237905,WALLER,237,N,ROYAL ISD,04
238902,WARD,238,N,MONAHANS-WICKETT-PYOTE ISD,18
238904,WARD,238,N,GRANDFALLS-ROYALTY ISD,18
239901,WASHINGTON,239,N,BRENHAM ISD,06
239903,WASHINGTON,239,N,BURTON ISD,06
240801,WEBB,240,Y,TRIUMPH PUBLIC HIGH SCHOOLS-LAREDO,01
240901,WEBB,240,N,LAREDO ISD,01
240903,WEBB,240,N,UNITED ISD,01
240904,WEBB,240,N,WEBB CISD,01
241901,WHARTON,241,N,BOLING ISD,03
241902,WHARTON,241,N,EAST BERNARD ISD,03
241903,WHARTON,241,N,EL CAMPO ISD,03
241904,WHARTON,241,N,WHARTON ISD,03
241906,WHARTON,241,N,LOUISE ISD,03
242902,WHEELER,242,N,SHAMROCK ISD,16
242903,WHEELER,242,N,WHEELER ISD,16
242905,WHEELER,242,N,KELTON ISD,16
242906,WHEELER,242,N,FORT ELLIOTT CISD,16
243901,WICHITA,243,N,BURKBURNETT ISD,09
243902,WICHITA,243,N,ELECTRA ISD,09
243903,WICHITA,243,N,IOWA PARK CISD,09
243905,WICHITA,243,N,WICHITA FALLS ISD,09
243906,WICHITA,243,N,CITY VIEW ISD,09
244901,WILBARGER,244,N,HARROLD ISD,09
244903,WILBARGER,244,N,VERNON ISD,09
244905,WILBARGER,244,N,NORTHSIDE ISD,09
245901,WILLACY,245,N,LASARA ISD,01
245902,WILLACY,245,N,LYFORD CISD,01
245903,WILLACY,245,N,RAYMONDVILLE ISD,01
245904,WILLACY,245,N,SAN PERLITA ISD,01
246801,WILLIAMSON,246,Y,MERIDIAN WORLD SCHOOL LLC,13
246802,WILLIAMSON,246,Y,GOODWATER MONTESSORI SCHOOL,13
246902,WILLIAMSON,246,N,FLORENCE ISD,13
246904,WILLIAMSON,246,N,GEORGETOWN ISD,13
246905,WILLIAMSON,246,N,GRANGER ISD,13
246906,WILLIAMSON,246,N,HUTTO ISD,13
246907,WILLIAMSON,246,N,JARRELL ISD,13
246908,WILLIAMSON,246,N,LIBERTY HILL ISD,13
246909,WILLIAMSON,246,N,ROUND ROCK ISD,13
246911,WILLIAMSON,246,N,TAYLOR ISD,13
246912,WILLIAMSON,246,N,THRALL ISD,13
246913,WILLIAMSON,246,N,LEANDER ISD,13
246914,WILLIAMSON,246,N,COUPLAND ISD,13
247901,WILSON,247,N,FLORESVILLE ISD,20
247903,WILSON,247,N,LA VERNIA ISD,20
247904,WILSON,247,N,POTH ISD,20
247906,WILSON,247,N,STOCKDALE ISD,20
248901,WINKLER,248,N,KERMIT ISD,18
248902,WINKLER,248,N,WINK-LOVING ISD,18
249901,WISE,249,N,ALVORD ISD,11
249902,WISE,249,N,BOYD ISD,11
249903,WISE,249,N,BRIDGEPORT ISD,11
249904,WISE,249,N,CHICO ISD,11
249905,WISE,249,N,DECATUR ISD,11
249906,WISE,249,N,PARADISE ISD,11
249908,WISE,249,N,SLIDELL ISD,11
250902,WOOD,250,N,HAWKINS ISD,07
250903,WOOD,250,N,MINEOLA ISD,07
250904,WOOD,250,N,QUITMAN ISD,07
250905,WOOD,250,N,YANTIS ISD,07
250906,WOOD,250,N,ALBA-GOLDEN ISD,07
250907,WOOD,250,N,WINNSBORO ISD,07
251901,YOAKUM,251,N,DENVER CITY ISD,17
251902,YOAKUM,251,N,PLAINS ISD,17
252901,YOUNG,252,N,GRAHAM ISD,09
252902,YOUNG,252,N,NEWCASTLE ISD,09
252903,YOUNG,252,N,OLNEY ISD,09
253901,ZAPATA,253,N,ZAPATA COUNTY ISD,01
254901,ZAVALA,254,N,CRYSTAL CITY ISD,20
254902,ZAVALA,254,N,LA PRYOR ISD,20